,osmanlica,turkce
0,ا,a
1,اب,Ab
2,اب,Abbe
3,ابا,Eba
4,اباء,üba
5,اباء,İbâ
6,اباءة,ibağat
7,ابائة,İbâet
8,اباب,ebab
9,ابابيل,ebabil
10,اباتة,ebateh
11,اباثه,ebaseh
12,اباحة,ebahe
13,اباخة,ebaheh
14,آباد,abade
15,آبادان,abadan
16,آبادانی,Âbâdânî
17,آبادی,abadiy
18,آبار,ebar
19,ابار,ebat
20,ابارة,ibare
21,آباريق,ebarig
22,آبارير,ebarir
23,آباس,ebas
24,آباشة,ibaşe
25,اباص,ibas
26,اباضة,ibadet
27,اباط,ibad
28,اباطله,ebadile
29,اباعة,ibaa
30,اباعد,ebaid
31,اباقة,ibageh
32,ابال,Ebbâl
33,ابالسه,ibalise
34,ابالیس,ebalis
35,اباوة,ibave
36,ابت,ibet
37,ابتابه,ebtabe
38,ابتات,İbtât
39,ابتار,ibtar
40,ابتئار,ibtiar
41,ابتتار,ibtitar
42,ابتحاث,ibtihas
43,ابتحاج,ibtihac
44,ابتداء,ibtida
45,ابتدار,ibtidar
46,ابتداع,ibtidağ
47,ابتداه,ibtideh
48,ابتر,ebter
49,ابتراء,ibtira
50,ابتراد,ibtirad
51,ابترار,ibtirar
52,ابتدال,ibtidal
53,ابتزار,ibtizar
54,ابتزاع,ibtizag
55,ابتزال,ibtizal
56,ابتزام,ibtizam
57,ابتسام,ibtisam
58,ابتشاك,ibtişak
59,ابتضاض,ibtiza
60,ابتعاث,ibtiğas
61,ابتعاق,ibtiğag
62,ابتعون,ebteğun
63,ابتغاء,ibtiğa
64,ابتقا,ibtiga
65,ابتكار,ibtikar
66,ابتلا,ibtila
67,ابتلاع,ibtila
68,ابتلال,ibtilal
69,ابتناء,ibtina
70,ابتهاج,ibtihac
71,ابتهار,ibtihar
72,ابتهال,ibtihal
73,ابتيار,ibriyar
74,ابتياع,ibtiyağ
75,ابتثاث,ibtisas
76,ابجد,ebced
77,ابحاح,ibhah
78,ابحاث,ebhas
79,ابحار,ebhar
80,ابحار,ibhar
81,ابحاق,ibhag
82,ابخر,ebhar
83,ابخل,ebhal
84,ابد,ebed
85,ابداء,ibdae
86,ابجال,ibcal
87,ابدا,ebede
88,ابداد,ibdad
89,ابدار,ibdar
90,ابدار,ebdar
91,ابداع,ibdağ
92,ابدال,ebdal
93,ابدال,ibdal
94,ابدان,ebdan
95,ابدان,ebden
96,آبدست,ebdeset
97,ابدع,ebdeğ
98,ابدی,ebedi
99,ابديت,ebediyet
100,ابر,ibar
101,ابراء,ibrar
102,ابراءاسقاط,ibraeisgad
103,ابراءاستيفا,ibraeistifa
104,ابراءخاص,ibraehas
105,ابراءعام,ibraeğam
106,ابراج,ibrac
107,ابراج,ebrac
108,ابراد,ibrad
109,ابرار,ebrar
110,ابراز,inraz
111,ابرص,ebras
112,ابراص,ibras
113,ابراق,ibrag
114,ابراك,ibrak
115,ابرام,ibram
116,ابراه,ibrah
117,ابراهیم,ibrahim
118,ابره,ibrah
119,ابرد,ebrad
120,ابرش,ebraş
121,ابرشم,ibrişim
122,آبرو,ebru
123,ابروان,ebruan
124,ابرویصنم,ebruiysenen
